"listing_id","date","price","available"
716643,"2017-07-25",$349.00,t
716643,"2017-07-24",$349.00,t
716643,"2017-07-23",$349.00,t
716643,"2017-07-22",$349.00,t
716643,"2017-07-21",$349.00,t
716643,"2017-07-20",$349.00,t
716643,"2017-07-19",$349.00,t
716643,"2017-07-18",$349.00,t
716643,"2017-07-17",$349.00,t
716643,"2017-07-16",$349.00,t
716643,"2017-07-15",$349.00,t
716643,"2017-07-14",$349.00,t
716643,"2017-07-13",$349.00,t
716643,"2017-07-12",$349.00,t
716643,"2017-07-11",$349.00,t
716643,"2017-07-10",$349.00,t
716643,"2017-07-09",$349.00,t
716643,"2017-07-08",$349.00,t
716643,"2017-07-07",$349.00,t
716643,"2017-07-06",$349.00,t
716643,"2017-07-05",$349.00,t
716643,"2017-07-04",$349.00,t
716643,"2017-07-03",$349.00,t
716643,"2017-07-02",$349.00,t
716643,"2017-07-01",$349.00,t
716643,"2017-06-30",$349.00,t
716643,"2017-06-29",$349.00,t
716643,"2017-06-28",$349.00,t
716643,"2017-06-27",$349.00,t
716643,"2017-06-26",$349.00,t
716643,"2017-06-25",$349.00,t
716643,"2017-06-24",$349.00,t
716643,"2017-06-23",$349.00,t
716643,"2017-06-22",$349.00,t
716643,"2017-06-21",$349.00,t
716643,"2017-06-20",$349.00,t
716643,"2017-06-19",$349.00,t
716643,"2017-06-18",$349.00,t
716643,"2017-06-17",$349.00,t
716643,"2017-06-16",$349.00,t
716643,"2017-06-15",$349.00,t
716643,"2017-06-14",$349.00,t
716643,"2017-06-13",$349.00,t
716643,"2017-06-12",$349.00,t
716643,"2017-06-11",$349.00,t
716643,"2017-06-10",$349.00,t
716643,"2017-06-09",$349.00,t
716643,"2017-06-08",$349.00,t
716643,"2017-06-07",$349.00,t
716643,"2017-06-06",$349.00,t
716643,"2017-06-05",$349.00,t
716643,"2017-06-04",$349.00,t
716643,"2017-06-03",$349.00,t
716643,"2017-06-02",$349.00,t
716643,"2017-06-01",$349.00,t
